Pair ID,Dataset,Language model,Specificity,Words,Words shorter,Words clearer,Readability score,Readability score shorter,Readability score clearer,Cosine similarity,Cosine similarity shorter,Cosine similarity clearer
pair_0,collaborative_ssd_case_inspection,gpt-oss:20b,2,71,67,77,91.06403755868544,94.51592039800998,87.48938967136151,0.9094715459384591,0.9167241101006476,0.8826657226855891
pair_1,collaborative_ssd_case_inspection,gpt-oss:20b,2,72,62,79,93.39,94.43575268817207,88.26723101265826,0.8838026503529308,0.9253584478658898,0.8956547834394979
pair_2,collaborative_ssd_case_inspection,gpt-oss:20b,2,86,59,73,89.03746511627908,96.53774011299436,96.14364130434785,0.898817141505952,0.8783202765705104,0.8758002688197195
pair_3,collaborative_ssd_case_inspection,gpt-oss:20b,2,65,55,79,92.23604519774013,60.458867924528334,91.04,0.9289353284334162,0.9291092400837948,0.9230044732743247
pair_4,collaborative_ssd_case_inspection,gpt-oss:20b,2,154,100,151,64.158963963964,80.53166666666671,78.98604379562043,0.9118714900192165,0.9253389298086547,0.8721272569384859
pair_5,collaborative_ssd_case_inspection,gpt-oss:20b,2,95,61,110,79.40701754385965,81.56930327868854,78.94068181818183,0.8320058607380244,0.8641014200551573,0.9056353461885414
pair_6,collaborative_ssd_case_inspection,gpt-oss:20b,2,88,66,87,89.33,94.77772727272728,93.01953313253013,0.9017292114169042,0.888894355812042,0.9424244061792592
pair_7,collaborative_ssd_case_inspection,gpt-oss:20b,2,221,118,160,71.66677419354839,85.64826086956523,75.68834437086093,0.8918044230111692,0.8823165145914689,0.8316135099658252
pair_8,collaborative_ssd_case_inspection,gpt-oss:20b,2,118,67,128,93.65381355932206,74.34294776119404,54.732631578947405,0.9385233304191825,0.9038915962102042,0.9005170311811308
pair_9,collaborative_ssd_case_inspection,gpt-oss:20b,2,125,68,127,73.88063414634149,83.05480392156865,89.36376575630253,0.8081659159428423,0.841209715924689,0.8296483746349212
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,2,81,73,76,90.19236111111113,88.26543378995436,83.16377192982456,0.8581298648032727,0.8766500707215126,0.8544628291471115
pair_11,collaborative_ssd_case_inspection,gpt-oss:20b,2,195,147,196,78.77538461538462,83.0791836734694,84.53625000000001,0.8974301234063986,0.8909439957146006,0.893143625487594
pair_12,collaborative_ssd_case_inspection,gpt-oss:20b,2,139,71,159,67.23814388489208,75.62156690140849,77.58640330188682,0.8551872213632019,0.8043805824045248,0.8565669695312834
pair_13,collaborative_ssd_case_inspection,gpt-oss:20b,2,89,36,151,72.08495786516855,75.76500000000001,74.37983100233102,0.6968100351848863,0.4800536639145949,0.7427375719146777
pair_14,collaborative_ssd_case_inspection,gpt-oss:20b,2,133,100,139,73.22008458646619,83.32400000000003,80.01943884892086,0.9067384926303577,0.88744086661639,0.9016755927629838
pair_15,collaborative_ssd_case_inspection,gpt-oss:20b,2,190,68,213,78.2342704918033,89.30314285714289,63.4951503990178,0.8816902399764724,0.816804400235886,0.7394214348965706
pair_16,collaborative_ssd_case_inspection,gpt-oss:20b,2,87,52,98,75.29655172413794,77.94884615384619,74.92260204081633,0.8512865999738108,0.8292530030197343,0.8464101231118858
pair_17,collaborative_ssd_case_inspection,gpt-oss:20b,2,64,29,56,93.27535519125685,84.04827586206898,105.17130769230769,0.7993271792866253,0.5149224586329089,0.8192109099583754
pair_18,collaborative_ssd_case_inspection,gpt-oss:20b,2,131,101,143,91.67874681933844,93.35576237623765,82.60045454545454,0.9494820797035026,0.9272549913627945,0.8759522774912695
pair_19,collaborative_ssd_case_inspection,gpt-oss:20b,2,65,42,87,91.1325641025641,86.82000000000001,86.54495689655175,0.907974557773226,0.8703017780779214,0.8854568752949373
pair_20,collaborative_ssd_case_inspection,gpt-oss:20b,2,66,43,65,90.93227272727273,84.67296511627909,83.32333333333334,0.8924114577197001,0.8861477826713348,0.8358782462069574
pair_21,collaborative_ssd_case_inspection,gpt-oss:20b,2,155,58,178,81.76454954954957,76.35649425287357,82.25330882352944,0.9241701841785246,0.8237884503094459,0.8411097227372571
pair_22,collaborative_ssd_case_inspection,gpt-oss:20b,2,124,48,144,86.8291290322581,84.845,89.02847058823531,0.9290836332421604,0.7450906940425133,0.9321989274872665
pair_23,collaborative_ssd_case_inspection,gpt-oss:20b,2,160,55,167,78.12250000000003,75.86431818181819,58.87845010615712,0.8971491722090639,0.8298797131488547,0.905495047940853
pair_24,collaborative_ssd_case_inspection,gpt-oss:20b,2,80,39,80,82.47833333333335,87.25788461538464,79.30583333333335,0.8941983386765611,0.7512319861431849,0.8807158188472676
pair_25,collaborative_ssd_case_inspection,gpt-oss:20b,2,79,44,76,71.61975000000002,76.83227272727274,76.94000000000001,0.7310511944773133,0.8309035780528565,0.7738042792251691
pair_26,collaborative_ssd_case_inspection,gpt-oss:20b,2,55,35,56,85.16848484848487,87.55250000000002,91.20261904761908,0.850165202851871,0.8346829883269792,0.7649416721293254
pair_27,collaborative_ssd_case_inspection,gpt-oss:20b,2,63,33,75,70.03428571428573,64.4693181818182,75.00375000000003,0.8277520491812951,0.7157311666082479,0.804292815887177
pair_28,collaborative_ssd_case_inspection,gpt-oss:20b,2,101,71,93,70.47323432343238,75.57389671361503,73.03551966292135,0.740836050666902,0.6877581228315215,0.7010972680947065
pair_29,collaborative_ssd_case_inspection,gpt-oss:20b,2,105,52,123,79.1657142857143,77.94884615384619,69.06600000000003,0.8339474892496487,0.8246400460541836,0.7960042387405384
pair_30,collaborative_ssd_case_inspection,gpt-oss:20b,2,135,57,136,82.6208181818182,82.17105263157896,83.15028571428574,0.9137083690772669,0.7714842521324237,0.8957195951141664
pair_31,collaborative_ssd_case_inspection,gpt-oss:20b,2,101,72,184,74.82803217821784,83.77500000000002,72.79558823529413,0.8700737643525821,0.8496509194343906,0.861859941153672
pair_32,collaborative_ssd_case_inspection,gpt-oss:20b,2,83,67,134,79.88345381526103,84.41442786069653,64.26348140495871,0.8608175156779776,0.9023439340392843,0.8616069929717431
pair_33,collaborative_ssd_case_inspection,gpt-oss:20b,2,61,56,67,91.88846994535523,81.72928571428575,91.99054726368162,0.9068247054470923,0.8343093935802284,0.8488214333774705
pair_34,collaborative_ssd_case_inspection,gpt-oss:20b,2,72,59,84,87.30000000000003,82.91802631578949,88.83428571428574,0.88210432722688,0.9022724020634842,0.8123498285547865
pair_35,collaborative_ssd_case_inspection,gpt-oss:20b,2,69,44,69,90.01320652173915,101.58015151515154,90.01320652173915,0.9158354539733538,0.8308270866556452,0.9204919571049583
pair_36,collaborative_ssd_case_inspection,gpt-oss:20b,2,129,53,139,79.66404069767445,80.35993710691825,82.40613432835822,0.8913855351710639,0.7473459433136524,0.8856231032310393
pair_37,collaborative_ssd_case_inspection,gpt-oss:20b,2,64,47,72,86.166875,82.18250000000003,92.215,0.8772739071409804,0.7971201938348924,0.8222109312810555
pair_38,collaborative_ssd_case_inspection,gpt-oss:20b,2,94,42,128,76.78250000000003,90.84857142857145,85.5059375,0.8123551240620015,0.8276295082142352,0.8533220283478755
pair_39,collaborative_ssd_case_inspection,gpt-oss:20b,2,140,75,141,76.43714285714286,94.17975000000001,84.80333333333336,0.9569834180771157,0.8438163368442709,0.9606200725734027
pair_40,collaborative_ssd_case_inspection,gpt-oss:20b,2,150,69,144,77.25975000000001,82.65668478260872,76.82043478260871,0.8672600800674511,0.8840197595980139,0.9059060278441178
pair_41,collaborative_ssd_case_inspection,gpt-oss:20b,2,80,69,76,84.59333333333335,93.98565217391305,93.16831081081081,0.9332825136598121,0.9185301946661186,0.8902853874158002
pair_42,collaborative_ssd_case_inspection,gpt-oss:20b,2,81,30,79,74.74166233766235,75.99000000000002,82.03200000000001,0.742750399564601,0.7530576128930745,0.7711544195080298
pair_43,collaborative_ssd_case_inspection,gpt-oss:20b,2,133,70,103,75.76444548872182,82.8402380952381,70.63661407766992,0.9272239128499113,0.9097441558475236,0.855244512332507
pair_44,collaborative_ssd_case_inspection,gpt-oss:20b,2,101,60,106,78.34520627062706,72.04500000000002,69.59058490566039,0.8927446460703526,0.8582312717896696,0.8721867509611823
pair_45,collaborative_ssd_case_inspection,gpt-oss:20b,2,102,54,102,72.29955882352942,80.73,60.2481043956044,0.9169748576679024,0.8734315770056744,0.8987027679985545
pair_46,collaborative_ssd_case_inspection,gpt-oss:20b,2,131,57,99,85.95497709923666,74.1757142857143,75.06727272727274,0.8369411688051378,0.8179410744019048,0.8487560724021923
pair_47,collaborative_ssd_case_inspection,gpt-oss:20b,2,161,67,244,73.04192307692308,90.09178571428573,75.96252202643171,0.862335828443487,0.8800883584724835,0.8192233080708227
pair_48,collaborative_ssd_case_inspection,gpt-oss:20b,2,80,53,87,90.30250000000004,91.53352201257863,88.48978448275864,0.9022873897759527,0.8278877911552925,0.911447902699551
pair_49,collaborative_ssd_case_inspection,gpt-oss:20b,2,55,31,52,95.9357575757576,98.10150537634408,96.5070512820513,0.906009124988381,0.8618493953734623,0.8660744134561784
