Pair ID,Dataset,Language model,Specificity,Words,Words shorter,Words clearer,Readability score,Readability score shorter,Readability score clearer,Cosine similarity,Cosine similarity shorter,Cosine similarity clearer
pair_10,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,20,26,82.82961538461542,89.24500000000003,82.82961538461542,0.6851601597031488,0.7423218080230884,0.6851601597031488
pair_11,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,14,15,84.45000000000003,83.85357142857143,84.45000000000003,0.7195920781292547,0.6527299120066192,0.7195920781292547
pair_12,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,15,17,85.07411764705884,84.45000000000003,85.07411764705884,0.7883421693396079,0.7149203529842405,0.7883421693396079
pair_13,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,17,47,85.07411764705884,85.07411764705884,73.18250000000002,0.8546240657520564,0.8546240657520564,0.6809691791841626
pair_14,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,42,84.45000000000003,84.45000000000003,56.03237804878049,0.7149203529842405,0.7149203529842405,0.438841287100545
pair_15,collaborative_ssd_case_inspection,gpt-oss:20b,1,17,15,32,85.07411764705884,84.45000000000003,63.47967741935486,0.8546240657520564,0.7195920781292547,0.6841337612267583
pair_16,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,84.45000000000003,84.45000000000003,0.7149203529842405,0.7149203529842405,0.7149203529842405
pair_17,collaborative_ssd_case_inspection,gpt-oss:20b,1,25,17,23,86.708,100.00352941176472,76.82043478260871,0.6416587529241817,0.5721588318817212,0.619256215850568
pair_18,collaborative_ssd_case_inspection,gpt-oss:20b,1,21,15,20,88.83428571428574,101.37000000000002,89.24500000000003,0.7504787743864565,0.5601120336112041,0.6793662204867577
pair_19,collaborative_ssd_case_inspection,gpt-oss:20b,1,24,17,25,87.30000000000003,100.00352941176472,86.708,0.752325586976726,0.5147915616702294,0.5981337435350721
pair_20,collaborative_ssd_case_inspection,gpt-oss:20b,1,19,14,19,94.04473684210527,95.93928571428573,94.04473684210527,0.6350852961085884,0.5773502691896258,0.5773502691896258
pair_21,collaborative_ssd_case_inspection,gpt-oss:20b,1,15,15,15,84.45000000000003,84.45000000000003,84.45000000000003,0.7149203529842405,0.7149203529842405,0.7149203529842405
pair_22,collaborative_ssd_case_inspection,gpt-oss:20b,1,26,26,26,86.08346153846156,86.08346153846156,86.08346153846156,0.612825877028341,0.612825877028341,0.612825877028341
